Species,Date,Treatment,Starting_Cond,Acute_temp,Nutrients,Duplicate,Replicate,Abs_450,Conc,RFU_raw_Final,RFU_raw_initial,Dilution_fact
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,i,A,0.1237,NA,5190.99,159.14,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,ii,A,0.120499998,NA,5190.99,159.14,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,i ,B,0.157100007,NA,5096.27,156.07,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,ii,B,0.1294,NA,5096.27,156.07,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,i ,C,0.158000007,NA,3764.77,159.65,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,ii,C,0.159199998,NA,3764.77,159.65,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,i ,D,0.097099997,NA,4979.7,164.73,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,ii,D,0.1171,NA,4979.7,164.73,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,i ,E,0.157399997,NA,5054.54,164.36,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,ii,E,0.138799995,NA,5054.54,164.36,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,i ,F,0.1171,NA,4384.1,155.63,15
M. aeruginosa (toxic),7/31/19,"well 1, normal nutrient",1,28.6,Normal,ii,F,0.122500002,NA,4384.1,155.63,15
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,i,A,0.222900003,NA,2618.65,207,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,ii,A,0.149399996,NA,2618.65,207,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,i ,B,0.129899994,NA,3575.28,214.8,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,ii,B,0.119999997,NA,3575.28,214.8,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,i ,C,0.122400001,NA,3617.7,201.56,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,ii,C,0.128299996,NA,3617.7,201.56,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,i ,D,0.127000004,NA,4458.12,195.34,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,ii,D,0.097499996,NA,4458.12,195.34,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,i ,E,0.148300007,NA,3583.27,200.21,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,ii,E,0.126900002,NA,3583.27,200.21,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,i ,F,0.151099995,NA,3547.98,198.26,10
M. aeruginosa (toxic),7/31/19,"well 5, normal nutrient",5,28.6,Normal,ii,F,0.133200005,NA,3547.98,198.26,10
M. aeruginosa (toxic),7/31/19,"well 8, normal nutrient",8,28.6,Normal,i,A,0.297800004,NA,1636.75,130.54,10
M. aeruginosa (toxic),7/31/19,"well 8, normal nutrient",8,28.6,Normal,ii,A,0.358799994,NA,1636.75,130.54,10
M. aeruginosa (toxic),7/31/19,"well 8, normal nutrient",8,28.6,Normal,i ,B,0.373800009,NA,1500.9,126.73,10
M. aeruginosa (toxic),7/31/19,"well 8, normal nutrient",8,28.6,Normal,ii,B,0.446999997,NA,1500.9,126.73,10
M. aeruginosa (toxic),7/31/19,"well 8, normal nutrient",8,28.6,Normal,i ,C,0.356599987,NA,1729.92,131.37,10
M. aeruginosa (toxic),7/31/19,"well 8, normal nutrient",8,28.6,Normal,ii,C,0.284399986,NA,1729.92,131.37,10
